,City Name,Cloudiness,Country,Humidity,Latitude,Query URL,Temperature,Wind Speed,id
0,Atuona,0,PF,100,-9.8,http://api.openweathermap.org/data/2.5/weather?appid=dcfadfba0c3f9d2c5a431ecbe681f246&units=metric&q=atuona,26.88,5.6,4020109
1,Cabo San Lucas,20,MX,42,22.89,http://api.openweathermap.org/data/2.5/weather?appid=dcfadfba0c3f9d2c5a431ecbe681f246&units=metric&q=cabo san lucas,31.11,2.6,3985710
2,Altamont,20,CA,38,49.4,http://api.openweathermap.org/data/2.5/weather?appid=dcfadfba0c3f9d2c5a431ecbe681f246&units=metric&q=altamont,25.0,5.7,6065191
3,Albany,75,US,53,42.65,http://api.openweathermap.org/data/2.5/weather?appid=dcfadfba0c3f9d2c5a431ecbe681f246&units=metric&q=albany,20.33,4.1,5106834
4,Kaitangata,0,NZ,83,-46.28,http://api.openweathermap.org/data/2.5/weather?appid=dcfadfba0c3f9d2c5a431ecbe681f246&units=metric&q=kaitangata,4.78,4.0,2208248
5,Vardo,1,US,56,39.62,http://api.openweathermap.org/data/2.5/weather?appid=dcfadfba0c3f9d2c5a431ecbe681f246&units=metric&q=vardo,22.43,2.6,4372777
6,New Norfolk,75,AU,71,-42.78,http://api.openweathermap.org/data/2.5/weather?appid=dcfadfba0c3f9d2c5a431ecbe681f246&units=metric&q=new norfolk,11.0,2.6,2155415
7,Ushuaia,40,AR,52,-54.81,http://api.openweathermap.org/data/2.5/weather?appid=dcfadfba0c3f9d2c5a431ecbe681f246&units=metric&q=ushuaia,6.0,6.7,3833367
8,Atar,36,MR,13,20.52,http://api.openweathermap.org/data/2.5/weather?appid=dcfadfba0c3f9d2c5a431ecbe681f246&units=metric&q=atar,39.38,4.45,2381334
9,Saint-Philippe,20,CA,59,45.36,http://api.openweathermap.org/data/2.5/weather?appid=dcfadfba0c3f9d2c5a431ecbe681f246&units=metric&q=saint-philippe,18.28,7.2,6138908
10,Lagoa,0,PT,82,37.14,http://api.openweathermap.org/data/2.5/weather?appid=dcfadfba0c3f9d2c5a431ecbe681f246&units=metric&q=lagoa,18.0,6.2,2267254
12,Rikitea,56,PF,100,-23.12,http://api.openweathermap.org/data/2.5/weather?appid=dcfadfba0c3f9d2c5a431ecbe681f246&units=metric&q=rikitea,22.48,8.8,4030556
14,Marienburg,20,DE,26,52.12,http://api.openweathermap.org/data/2.5/weather?appid=dcfadfba0c3f9d2c5a431ecbe681f246&units=metric&q=marienburg,28.21,1.0,2803461
15,Pisco,90,PE,82,-13.71,http://api.openweathermap.org/data/2.5/weather?appid=dcfadfba0c3f9d2c5a431ecbe681f246&units=metric&q=pisco,19.0,2.6,3932145
16,Bredasdorp,88,ZA,63,-34.53,http://api.openweathermap.org/data/2.5/weather?appid=dcfadfba0c3f9d2c5a431ecbe681f246&units=metric&q=bredasdorp,18.0,2.6,1015776
17,Shingu,92,JP,100,33.72,http://api.openweathermap.org/data/2.5/weather?appid=dcfadfba0c3f9d2c5a431ecbe681f246&units=metric&q=shingu,21.28,1.85,1847947
18,Paris,20,FR,53,48.86,http://api.openweathermap.org/data/2.5/weather?appid=dcfadfba0c3f9d2c5a431ecbe681f246&units=metric&q=paris,23.75,1.0,2988507
19,Nyagan,100,RU,99,62.14,http://api.openweathermap.org/data/2.5/weather?appid=dcfadfba0c3f9d2c5a431ecbe681f246&units=metric&q=nyagan,9.03,3.8,1496476
20,Lorengau,76,PG,100,-2.02,http://api.openweathermap.org/data/2.5/weather?appid=dcfadfba0c3f9d2c5a431ecbe681f246&units=metric&q=lorengau,28.63,3.45,2092164
21,Vaini,92,IN,99,15.34,http://api.openweathermap.org/data/2.5/weather?appid=dcfadfba0c3f9d2c5a431ecbe681f246&units=metric&q=vaini,21.53,1.05,1273574
24,Tiksi,48,RU,88,71.64,http://api.openweathermap.org/data/2.5/weather?appid=dcfadfba0c3f9d2c5a431ecbe681f246&units=metric&q=tiksi,1.68,1.85,2015306
25,Sur,0,OM,76,22.57,http://api.openweathermap.org/data/2.5/weather?appid=dcfadfba0c3f9d2c5a431ecbe681f246&units=metric&q=sur,32.78,3.3,286245
26,Serebryansk,12,KZ,76,49.68,http://api.openweathermap.org/data/2.5/weather?appid=dcfadfba0c3f9d2c5a431ecbe681f246&units=metric&q=serebryansk,14.0,1.0,1519395
27,Matara,0,PE,38,-13.74,http://api.openweathermap.org/data/2.5/weather?appid=dcfadfba0c3f9d2c5a431ecbe681f246&units=metric&q=matara,16.0,1.15,3948642
29,Punta Arenas,90,CL,74,-53.16,http://api.openweathermap.org/data/2.5/weather?appid=dcfadfba0c3f9d2c5a431ecbe681f246&units=metric&q=punta arenas,3.54,5.7,3874787
30,Mount Pleasant,40,US,59,33.16,http://api.openweathermap.org/data/2.5/weather?appid=dcfadfba0c3f9d2c5a431ecbe681f246&units=metric&q=mount pleasant,32.0,2.1,4712933
